# Re(z) Im(z)
0.000000 5.000000
0.000004 5.000809
0.000032 5.003237
0.000107 5.007281
0.000254 5.012941
0.000496 5.020213
0.000857 5.029094
0.001360 5.039581
0.002029 5.051667
0.002889 5.065348
0.003961 5.080616
0.005270 5.097466
0.006839 5.115889
0.008690 5.135876
0.010848 5.157418
0.013335 5.180505
0.016174 5.205127
0.019388 5.231271
0.022998 5.258926
0.027029 5.288079
0.031501 5.318716
0.036436 5.350822
0.041858 5.384383
0.047786 5.419384
0.054244 5.455807
0.061252 5.493636
0.068830 5.532853
0.077001 5.573440
0.085784 5.615378
0.095200 5.658647
0.105269 5.703227
0.116010 5.749098
0.127444 5.796238
0.139589 5.844625
0.152465 5.894236
0.166091 5.945049
0.180484 5.997039
0.195663 6.050183
0.211645 6.104455
0.228448 6.159830
0.246090 6.216284
0.264587 6.273788
0.283955 6.332317
0.304211 6.391843
0.325371 6.452338
0.347449 6.513775
0.370461 6.576125
0.394422 6.639358
0.419345 6.703445
0.445245 6.768357
0.472136 6.834062
0.500030 6.900531
0.528940 6.967733
0.558878 7.035636
0.589857 7.104209
0.621887 7.173420
0.654980 7.243236
0.689147 7.313625
0.724397 7.384554
0.760740 7.455991
0.798186 7.527902
0.836744 7.600254
0.876422 7.673012
0.917227 7.746143
0.959168 7.819614
1.002252 7.893389
1.046484 7.967435
1.091872 8.041717
1.138420 8.116201
1.186134 8.190851
1.235019 8.265633
1.285079 8.340513
1.336317 8.415455
1.388737 8.490425
1.442341 8.565387
1.497133 8.640307
1.553113 8.715149
1.610283 8.789880
1.668643 8.864464
1.728195 8.938866
1.788937 9.013051
1.850870 9.086986
1.913991 9.160635
1.978300 9.233964
2.043794 9.306939
2.110471 9.379526
2.178327 9.451691
2.247358 9.523400
2.317561 9.594620
2.388931 9.665316
2.461463 9.735457
2.535151 9.805009
2.609988 9.873939
2.685970 9.942216
2.763087 10.009807
2.841333 10.076680
2.920700 10.142804
3.001180 10.208147
3.082762 10.272679
3.165438 10.336369
3.249197 10.399187
3.334030 10.461103
3.419924 10.522088
3.506870 10.582113
3.594855 10.641149
3.683866 10.699168
3.773891 10.756142
3.864918 10.812044
3.956931 10.866847
4.049917 10.920524
4.143861 10.973049
4.238749 11.024398
4.334565 11.074544
4.431293 11.123464
4.528917 11.171133
4.627420 11.217528
4.726785 11.262625
4.826995 11.306403
4.928032 11.348839
5.029877 11.389913
5.132512 11.429602
5.235918 11.467888
5.340075 11.504749
5.444964 11.540168
5.550564 11.574124
5.656854 11.606602
5.763815 11.637582
5.871424 11.667049
5.979661 11.694985
6.088503 11.721376
6.197928 11.746206
6.307913 11.769461
6.418436 11.791128
6.529474 11.811192
6.641003 11.829642
6.752999 11.846465
6.865439 11.861650
6.978298 11.875187
7.091552 11.887065
7.205176 11.897275
7.319144 11.905808
7.433432 11.912656
7.548015 11.917812
7.662866 11.921268
7.777959 11.923018
7.893269 11.923057
8.008768 11.921379
8.124432 11.917980
8.240232 11.912857
8.356143 11.906005
8.472136 11.897423
8.588185 11.887109
8.704263 11.875061
8.820342 11.861278
8.936395 11.845760
9.052394 11.828509
9.168311 11.809524
9.284118 11.788808
9.399788 11.766363
9.515292 11.742192
9.630602 11.716298
9.745691 11.688685
9.860529 11.659358
9.975089 11.628322
10.089343 11.595583
10.203261 11.561147
10.316817 11.525020
10.429981 11.487210
10.542725 11.447725
10.655022 11.406574
10.766842 11.363764
10.878158 11.319307
10.988942 11.273210
11.099164 11.225486
11.208799 11.176144
11.317816 11.125196
11.426189 11.072655
11.533890 11.018531
11.640891 10.962838
11.747165 10.905590
11.852684 10.846798
11.957421 10.786479
12.061349 10.724645
12.164440 10.661312
12.266669 10.596496
12.368007 10.530210
12.468430 10.462472
12.567910 10.393298
12.666421 10.322704
12.763938 10.250708
12.860435 10.177326
12.955886 10.102576
13.050267 10.026477
13.143551 9.949045
13.235716 9.870301
13.326735 9.790262
13.416585 9.708947
13.505242 9.626377
13.592682 9.542569
13.678882 9.457545
13.763819 9.371323
13.847470 9.283924
13.929813 9.195369
14.010825 9.105677
14.090485 9.014869
14.168772 8.922967
14.245663 8.829991
14.321139 8.735961
14.395180 8.640901
14.467764 8.544830
14.538872 8.447769
14.608486 8.349742
14.676586 8.250768
14.743154 8.150870
14.808172 8.050069
14.871621 7.948388
14.933485 7.845846
14.993748 7.742468
15.052391 7.638274
15.109400 7.533285
15.164759 7.427524
15.218452 7.321013
15.270466 7.213773
15.320785 7.105825
15.369396 6.997192
15.416286 6.887895
15.461442 6.777954
15.504851 6.667393
15.546502 6.556231
15.586383 6.444489
15.624482 6.332190
15.660791 6.219354
15.695298 6.106001
15.727994 5.992153
15.758870 5.877829
15.787918 5.763050
15.815130 5.647836
15.840498 5.532208
15.864014 5.416184
15.885674 5.299785
15.905470 5.183030
15.923397 5.065938
15.939450 4.948527
15.953626 4.830818
15.965919 4.712828
15.976327 4.594575
15.984846 4.476079
15.991474 4.357355
15.996210 4.238423
15.999053 4.119299
16.000000 4.000000
15.999053 3.880543
15.996210 3.760945
15.991474 3.641222
15.984846 3.521389
15.976327 3.401462
15.965919 3.281458
15.953626 3.161389
15.939450 3.041273
15.923397 2.921122
15.905470 2.800951
15.885674 2.680774
15.864014 2.560604
15.840498 2.440455
15.815130 2.320339
15.787918 2.200269
15.758870 2.080258
15.727994 1.960317
15.695298 1.840457
15.660791 1.720690
15.624482 1.601028
15.586383 1.481480
15.546502 1.362057
15.504851 1.242769
15.461442 1.123626
15.416286 1.004637
15.369396 0.885810
15.320785 0.767155
15.270466 0.648681
15.218452 0.530394
15.164759 0.412303
15.109400 0.294416
15.052391 0.176738
14.993748 0.059278
14.933485 -0.057958
14.871621 -0.174965
14.808172 -0.291736
14.743154 -0.408266
14.676586 -0.524549
14.608486 -0.640581
14.538872 -0.756356
14.467764 -0.871871
14.395180 -0.987121
14.321139 -1.102103
14.245663 -1.216812
14.168772 -1.331246
14.090485 -1.445402
14.010825 -1.559276
13.929813 -1.672866
13.847470 -1.786171
13.763819 -1.899187
13.678882 -2.011913
13.592682 -2.124348
13.505242 -2.236490
13.416585 -2.348339
13.326735 -2.459892
13.235716 -2.571150
13.143551 -2.682112
13.050267 -2.792778
12.955886 -2.903147
12.860435 -3.013221
12.763938 -3.122998
12.666421 -3.232480
12.567910 -3.341666
12.468430 -3.450559
12.368007 -3.559158
12.266669 -3.667465
12.164440 -3.775481
12.061349 -3.883207
11.957421 -3.990645
11.852684 -4.097796
11.747165 -4.204662
11.640891 -4.311244
11.533890 -4.417545
11.426189 -4.523566
11.317816 -4.629310
11.208799 -4.734778
11.099164 -4.839973
10.988942 -4.944896
10.878158 -5.049550
10.766842 -5.153938
10.655022 -5.258061
10.542725 -5.361922
10.429981 -5.465524
10.316817 -5.568867
10.203261 -5.671956
10.089343 -5.774793
9.975089 -5.877378
9.860529 -5.979716
9.745691 -6.081809
9.630602 -6.183657
9.515292 -6.285265
9.399788 -6.386633
9.284118 -6.487765
9.168311 -6.588662
9.052394 -6.689326
8.936395 -6.789759
8.820342 -6.889963
8.704263 -6.989940
8.588185 -7.089692
8.472136 -7.189219
8.356143 -7.288524
8.240232 -7.387608
8.124432 -7.486472
8.008768 -7.585117
7.893269 -7.683545
7.777959 -7.781755
7.662866 -7.879750
7.548015 -7.977529
7.433432 -8.075093
7.319144 -8.172442
7.205176 -8.269577
7.091552 -8.366497
6.978298 -8.463202
6.865439 -8.559692
6.752999 -8.655966
6.641003 -8.752024
6.529474 -8.847865
6.418436 -8.943487
6.307913 -9.038890
6.197928 -9.134072
6.088503 -9.229031
5.979661 -9.323765
5.871424 -9.418274
5.763815 -9.512553
5.656854 -9.606602
5.550564 -9.700416
5.444964 -9.793995
5.340075 -9.887333
5.235918 -9.980429
5.132512 -10.073278
5.029877 -10.165877
4.928032 -10.258223
4.826995 -10.350310
4.726785 -10.442135
4.627420 -10.533694
4.528917 -10.624980
4.431293 -10.715991
4.334565 -10.806719
4.238749 -10.897161
4.143861 -10.987310
4.049917 -11.077160
3.956931 -11.166706
3.864918 -11.255941
3.773891 -11.344859
3.683866 -11.433454
3.594855 -11.521717
3.506870 -11.609644
3.419924 -11.697225
3.334030 -11.784454
3.249197 -11.871323
3.165438 -11.957824
3.082762 -12.043950
3.001180 -12.129691
2.920700 -12.215040
2.841333 -12.299988
2.763087 -12.384526
2.685970 -12.468646
2.609988 -12.552338
2.535151 -12.635593
2.461463 -12.718402
2.388931 -12.800755
2.317561 -12.882642
2.247358 -12.964053
2.178327 -13.044979
2.110471 -13.125409
2.043794 -13.205334
1.978300 -13.284741
1.913991 -13.363622
1.850870 -13.441966
1.788937 -13.519760
